Gender,Age,Country,EdLevel
Man,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,New Zealand,Some college/university study without earning a degree
Man,28.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,26.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,29.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,Brazil,Some college/university study without earning a degree
Man,38.0,Lithuania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,47.0,United States,Some college/university study without earning a degree
Man,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,Israel,Primary/elementary school
Man,22.0,South Africa,Associate degree
Man,34.0,United States,Some college/university study without earning a degree
Man,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,21.0,United States,Associate degree
Man,44.0,Czech Republic,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,42.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,43.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,Serbia,Some college/university study without earning a degree
Man,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,18.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,37.0,Sweden,
Man,33.0,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,27.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,34.0,United States,Some college/university study without earning a degree
Man,19.0,Netherlands,Associate degree
Man,24.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,42.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,21.0,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,26.0,China,Some college/university study without earning a degree
Man,36.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,35.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,United Kingdom,Some college/university study without earning a degree
Man,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
